"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51799988746643","2.68400001525879","2.89000010490417","3.02900004386902","3.13100004196167","3.04699993133545","3.07299995422363","3.02099990844727","3.07500004768372","2.9909999370575","2.90599989891052","3.06399989128113","2.94300007820129","2.72300004959106","2.64199995994568","2.45300006866455","2.10500001907349","2.18199992179871","2.74699997901917","2.92000007629395","2.91000008583069","2.79099988937378","2.79999995231628","2.76600003242493","2.67899990081787","2.60199999809265","2.46700000762939","2.4210000038147","2.38499999046326",
"Angola","AGO","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4860000610352","22.8519992828369","22.9860000610352","23.0179996490479","23.4080009460449","22.4939994812012","23.7980003356934","22.7819995880127","23.1499996185303","25.0499992370605","25.3419990539551","26.3199996948242","26.3540000915527","26.0590000152588","22.5799999237061","19.3279991149902","15.9569997787476","13.0629997253418","11.3549995422363","9.55599975585938","7.71799993515015","7.73199987411499","7.84800004959106","7.82999992370605","7.69500017166138","7.63800001144409","7.49200010299683","7.62200021743774","7.59499979019165",
"Albania","ALB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2959995269775","17.2409992218018","17.7600002288818","17.8199996948242","17.9169998168945","18.6639995574951","18.3780002593994","18.4860000610352","19.0090007781982","18.2339992523193","17.863000869751","17.9489994049072","17.9139995574951","17.7070007324219","17.326000213623","16.8360004425049","16.3999996185303","13.7530002593994","15.7349996566772","15.8819999694824","13.7620000839233","11.4720001220703","13.3570003509521","15.1700000762939","17.0970001220703","14.5659999847412","12.5729999542236","13.1319999694824","13.331000328064",
"Andorra","AND","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.81527576575","14.857885023065","16.5024689039476","17.3129715885511","17.7352154598791","16.3419649982176","16.5008662927208","16.5045342969686","16.5088303409351","17.8434907642147","17.6887946960371","18.270731501347","18.0177036854856","17.8276597373438","17.8012895589152","16.9729622716235","15.7488070839332","15.7176987749309","17.4501644872862","17.6218096575428","18.1196889968168","18.582659935896","18.4813518929638","18.4845826076676","18.7815485516046","18.7046848336938","18.6608829809199","18.678940387793","18.7343119638504",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51900005340576","2.15300011634827","2.19300007820129","2.24000000953674","2.35899996757507","2.3840000629425","2.46900010108948","2.47399997711182","2.47000002861023","2.71799993515015","3.34899997711182","3.88800001144409","4.97300004959106","6.23699998855591","7.21600008010864","6.78399991989136","6.37799978256226","5.94299983978271","6.2649998664856","6.02299976348877","6.04400014877319","5.9689998626709","5.69899988174438","5.24200010299683","4.78000020980835","4.41099977493286","7.5789999961853","7.46199989318848","7.73400020599365",
"Argentina","ARG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75400018692017","6.71600008010864","12.5959997177124","13.951000213623","22.2250003814697","19.2029991149902","17.6450004577637","14.0349998474121","15.1520004272461","16.3530006408691","17.1919994354248","18.8250007629395","17.5709991455078","15.8170003890991","13.5860004425049","12.4200000762939","10.5719995498657","9.74300003051758","9.86800003051758","9.21199989318848","8.50899982452393","8.82800006866455","8.49899959564209","8.39400005340576","8.75300025939941","9.16300010681152","9.47500038146973","10.7880001068115","11.2609996795654",
"Armenia","ARM","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25","2.4210000038147","7.4980001449585","8.61400032043457","10.2700004577637","14.9040002822876","17.1459999084473","13.6579999923706","15.2279996871948","14.7030000686646","14.4020004272461","14.0229997634888","13.2159996032715","12.5710000991821","11.6420001983643","10.6700000762939","9.76700019836426","16.6079998016357","19.8619995117188","21.2919998168945","19.6509990692139","18.1989994049072","18.132999420166","19.4729995727539","19.2549991607666","17.4829998016357","17.4529991149902","17.8990001678467","18.2660007476807",
"American Samoa","ASM","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.14799976348877","9.92500019073486","9.99499988555908","9.35999965667725","8.10400009155273","8.23499965667725","8.06999969482422","7.32600021362305","6.65700006484985","6.05999994277954","6.44299983978271","6.16099977493286","5.97900009155273","5.53599977493286","5.22100019454956","4.9229998588562","4.78700017929077","4.57299995422363","5.40000009536743","5.3769998550415","5.30600023269653","5.3270001411438","5.6100001335144","6.1729998588562","6.07200002670288","5.78000020980835","5.66900014877319","5.44500017166138","5.43900012969971",
"Austria","AUT","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54399991035461","3.77099990844727","4.5","3.96600008010864","4.89900016784668","5.20499992370605","5.27199983596802","5.5939998626709","4.75600004196167","4.5939998626709","4.12799978256226","4.52600002288818","4.33699989318848","5.89300012588501","5.85799980163574","5.60300016403198","5.30100011825562","4.41099977493286","5.08500003814697","4.62900018692017","4.58400011062622","4.78599977493286","5.29400014877319","5.38199996948242","5.30800008773804","5.54400014877319","5.03200006484985","4.72300004959106","4.6399998664856",
